"","normal_1","normal_2","normal_3","normal_4","normal_5","normal_6","HD_1","HD_2","HD_3","HD_4","HD_5","HD_6","HD_7","HD_8"
"KREMEN2",16.2169550178571,47.2162733607143,61.108581635,18.7574940657143,25.6464787028571,26.9624084942857,76.9735791885714,42.5756834935714,9.31280716457143,31.4227310507143,46.6370735828571,31.6514704942857,18.7397577864286,7.81886091657143
"AGPAT4",9.31280716457143,11.4725250558571,11.6860049007857,10.5244933556429,5.80919816942857,28.5428465542857,30.5227052807143,33.59857089,15.6049192507143,11.3254088326429,10.2557665525714,10.3951090582143,12.8280204747143,10.5299290317857
"SMPD3",61.9628350585714,57.1680762542857,49.4677489678571,85.9681340364286,75.3018580378571,69.9953834092857,61.8363516978571,84.0655226107143,21.5023396728571,19.4338987157143,28.061628435,43.8441053271429,69.5084953521429,74.4315036021429
"DENND1B",100.567631751429,110.826732804286,81.7526839835714,66.3645424678571,84.60639804,108.983761339286,65.3446702657143,56.4771647935714,74.147041275,50.2072270271429,93.7786975171429,108.287251575714,98.0880824621429,175.852719421429
"HS3ST2",37.9671070342857,43.36399851,85.0735218871429,29.3047725585714,50.9907362828571,56.2662654478571,81.6131239785714,116.863870385714,98.06886947,21.6896468592857,73.7792570507143,49.2642951107143,50.5724713928571,40.8010874507143
"METTL4",88.3412794157143,89.18875991,99.6331815064286,92.9650609121429,91.81996688,133.19018715,114.009617256429,100.320021631429,51.897162285,83.0474906335714,85.0433091078571,110.640291888571,94.2523819664286,95.3851087714286
"LGI2",18.2977515642857,11.4625583850714,16.5804111678571,16.7260380985714,18.68217263,10.963472885,7.56008448735714,7.72999159914286,28.6718641264286,24.0875548085714,6.4061375845,12.2645222868571,10.9828925185714,11.9941428611429
"TMOD2",2.3354488315,2.89531748007143,4.33972855307143,1.88593761242857,20.5869802692857,13.5053788064286,3.0725915895,3.32119206407143,0.611796402928571,3.137069155,26.0617945614286,12.1891541733571,3.574613693,4.2344252475
"PLAC1",45.0586078614286,34.2630862485714,69.2738565935714,42.9350476542857,43.6777764071429,31.8628708164286,67.4325109814286,166.07031325,109.865477426429,114.229404492857,45.330619735,61.6927826328571,44.850435225,32.3319562107143
"MNS1",8.79953811264286,25.2827335714286,22.0800387992857,2.34279247742857,10.2250831779286,25.2383397071429,28.9002867928571,30.2991924657143,35.313142525,19.8186326907143,17.8313538192857,22.9849633164286,8.39956362842857,11.9237939539286
"YBX2",57.0756517621429,20.2175418064286,59.0197222928571,37.2422880635714,40.0993752728571,26.7545369285714,81.8939167835714,69.9857957842857,127.679052185714,223.234677892857,38.6152794157143,20.7195053142857,60.7741043164286,41.3128175292857
"QSER1",41.772531575,30.76110412,19.3460576621429,43.4715045514286,38.6463803271429,54.9244686292857,3.32119206407143,0.868989569071429,7.87757047207143,50.6736479071429,12.2645222868571,10.8254982961429,42.6641169371429,13.088781826
