,normal_1,normal_2,normal_3,normal_4,normal_5,normal_6,normal_7,normal_8,normal_9,normal_10,normal_11,normal_12,normal_13,normal_14,symptomatic_1,symptomatic_2,symptomatic_3,symptomatic_4,symptomatic_5,symptomatic_6,symptomatic_7,symptomatic_8,symptomatic_9,symptomatic_10,symptomatic_11,symptomatic_12
DCAF15,37.56864247,32.23336022,35.01536098,68.10389785,36.3658871,29.42238095,26.25817204,23.37688172,36.47086022,32.75537634,30.49768817,24.57102151,27.08306452,25.37419355,16.99758065,21.68723118,28.0768318,25.94776498,24.89959677,25.2615233,38.33533026,30.08387097,22.24247312,28.36032258,18.37741935,11.55712366
LOC101060581,148.0016129,99.18435484,229.8056452,170.2209677,89.13860215,303.1177419,165.0908602,198.505914,209.3568817,248.2763441,248.7115591,152.5922581,263.0408602,226.7938172,209.7462366,259.4669355,248.2763441,201.6442473,198.623172,149.9365591,291.588172,226.9328763,215.2067204,241.2802419,210.6838441,142.5876344
SDHAF1,245.8612903,370.0299462,139.9932258,390.4016129,316.0560484,185.0887097,207.0083333,190.3770968,197.8586022,258.0260997,198.1277419,209.5913978,183.152957,133.5163978,173.9172581,181.6008065,157.9830108,200.4325806,177.7605376,220.9403226,195.3311828,189.1672043,180.325,182.8177419,187.3887097,172.0134409
FAM63A,476.0629032,485.3864247,478.1647849,153.6244624,490.7854839,225.6933333,387.2188172,323.1978495,681.1858602,84.1516129,446.1760215,312.3446237,267.9668011,363.3349462,276.0890323,376.6135753,239.7274731,178.2349462,341.4306452,229.6294547,270.4897849,275.8236559,289.2200461,424.238172,270.9123656,282.9291398
TJAP1,164.037043,166.6822581,154.4654839,167.1994624,118.414086,93.22284946,155.7867384,125.0818548,202.4233333,120.6989247,208.4150538,126.4751344,189.3782796,171.9931452,135.9927419,157.5088326,122.0078453,186.867043,138.3010753,155.3376344,125.1383065,109.1964516,157.6472532,175.925,120.991129,161.4954301
TBC1D12,12.5688172,36.7672043,43.34061828,18.37473118,33.3522043,77.42419355,59.07580645,17.93736559,10.31518817,63.84817204,48.01620968,34.97607527,13.73064516,78.70513441,79.48327957,45.47096774,47.00403226,19.50645161,11.62741935,55.90763441,51.60215054,55.75645161,62.53091398,29.89247312,52.51397849,62.29435484
SYT13,487.658871,491.4596774,230.3225806,643.0790323,559.4811828,276.5600614,376.7637097,282.4989247,215.2927419,342.6935753,228.339956,257.8796774,285.020914,254.2077957,225.940457,265.449328,178.7639785,291.8995601,304.7905876,265.3760753,295.2534311,276.7387097,261.5962366,258.4749711,317.5481183,357.6551075
MIER2,65.82864823,45.62795699,51.38903226,67.16564516,50.63551075,65.27494624,62.46716915,35.82193548,66.47096774,46.68717742,55.55268817,68.40188172,89.85451613,91.77284946,53.13467742,58.85430108,63.02489247,46.82413978,29.53268817,50.09698925,64.30701613,51.12682796,49.0952957,78.28645161,49.33521505,44.20376344
ORAI3,400.1790323,536.0591398,313.5278495,318.1962366,302.7752688,216.8623656,234.9907258,219.3215054,278.5634409,302.1069892,265.7805684,195.9196237,154.8682796,179.5036559,208.6819892,285.020914,237.5583333,229.9231183,202.2070968,156.0922043,187.6994624,213.7120968,206.027957,215.7446237,200.7877419,246.4201613
TMEM268,97.30537634,59.19061828,96.3377957,123.8677151,101.1543011,114.4010484,90.82002688,127.9205645,95.96518817,66.58231183,81.32991935,131.8602151,57.18795699,70.87096774,100.2873656,108.0603763,106.9930914,78.53924731,99.88548387,128.9820699,84.56787634,148.4973118,129.2077957,76.9597043,81.65268817,82.61478495
TFEB,59.99895161,58.94758065,124.0048118,29.41048387,69.3911828,86.93091398,83.67747312,96.88397849,153.2107527,57.50986559,73.61822581,98.44865591,80.28360215,95.14150538,81.81180108,49.49650538,87.11451613,15.23064516,57.37096774,60.91801075,41.69962366,77.02459677,75.21612903,52.57728495,99.70268817,20.19663979
PAIP2B,39.31768817,37.26321813,45.29782258,28.27379032,128.8210215,119.2833333,90.24640715,33.10551843,67.18375576,122.0811828,87.17854839,15.13266129,80.48094706,80.74596774,24.31935484,66.47741935,27.48510753,29.54290323,27.98698925,66.47096774,31.83215054,76.42150538,60.20268817,15.07486559,110.9483871,91.85967742
ZNF512B,28.58731183,4.827419355,30.55577957,38.08374808,29.91370968,19.43978495,17.04193548,19.95510753,26.23548387,6.751612903,27.6011828,21.14032258,8.715591398,15.21048387,28.92540323,10.0516129,21.33776882,30.57537634,30.65497312,9.862903226,26.11370968,14.76586022,13.39516129,22.70930108,34.85764785,21.92795699
KIAA1324,48.33655914,72.37069892,116.1538979,84.4469086,48.19704301,37.53225806,44.12647849,122.0483871,92.62290323,86.51290323,68.16344086,122.5402151,20.89314516,126.7591398,128.0481183,121.1952688,117.9790591,100.6204301,47.74182796,82.00448925,160.772043,92.25591398,143.0264401,124.4380645,100.0014785,55.19327957
ZNF783,65.47306452,36.66448925,127.6501344,72.41209677,59.72580645,93.9774359,79.64673284,68.70663978,83.27284946,136.6758065,168.0625,100.3906452,115.7846774,113.6312366,69.19489247,57.00801075,87.7155914,98.58024194,91.35645161,64.98153226,73.19354839,80.83897849,74.81196237,91.19892473,70.52451613,82.75994624
IRGQ,50.07924731,92.47311828,68.76915323,62.32650538,55.01608679,49.38924731,61.96454301,44.83306452,48.61790323,56.18623412,55.87604839,47.90865591,66.42284946,154.4016129,66.07225806,54.34623656,44.49827957,38.01182796,51.91854839,69.45645161,64.09607527,63.67139785,70.17630376,28.91854839,47.29814132,27.63252688
C2orf68,66.44919355,35.66386713,77.41827957,12.77694892,40.66451613,45.89543011,86.00817204,54.80138249,74.42943548,32.51182796,51.34653226,77.09811828,74.30487711,85.10430108,110.6113979,57.80510753,97.69041357,60.03967742,93.50658602,65.66311828,39.34032258,66.72615591,50.32430876,62.51854839,68.41244624,24.0875
CALML4,46.9433871,35.56639785,88.67879032,46.11817204,42.72930108,64.29032258,39.86013441,19.89677419,68.54896313,52.27258065,42.4171595,18.90067204,37.61215054,34.28731183,73.05913979,15.44946237,57.28548387,29.79413979,39.57865591,100.8417742,66.61397849,51.05854839,71.66962366,73.19354839,30.98259985,47.42790323
FAM174B,19.01451613,19.22674731,38.33973502,23.7594086,49.25752688,27.7455914,40.16,44.12647849,25.80174731,42.78715054,27.24610215,47.07271505,37.39473118,29.37287634,24.41120968,26.00497312,21.98602151,25.04569892,39.45223694,14.52365591,15.97526882,21.40741935,30.83629032,28.1344086,14.59892473,50.18172043
TMEM8A,97.67046733,360.5649194,164.0830645,140.1793011,127.1151306,98.28666667,189.7927419,181.6008065,298.4873656,235.244086,167.1308871,133.241129,224.4012219,164.3142473,65.79252688,139.2060484,166.9695409,82.05475806,117.8395161,114.5286021,123.1268011,201.9516129,156.3340591,127.4072043,108.5175269,111.7782258
DENND2A,20.95836022,21.89301075,14.57150538,54.34032258,31.08602151,17.0094086,33.89327957,24.41120968,12.47365591,23.56580645,18.24634409,18.94462366,33.21424731,53.73505376,22.4827957,18.84569892,9.568817204,12.90591398,14.64462366,30.5322043,17.9875,11.90215054,12.83575269,17.04946237,6.664516129,14.38790323
WHRN,26.02586022,39.97016129,13.86774194,14.83870968,48.30860215,23.43967742,15.58951613,10.46021505,12.29731183,12.0786828,52.08965054,16.50645161,13.52258065,18.36053763,21.68924731,10.36451613,14.47795699,13.39301075,14.18521505,15.74704301,9.465053763,15.41801075,17.30376344,18.54301075,46.51586021,26.46935484
KCTD13,24.5,33.76747312,65.61296113,18.28924731,22.70543011,18.55446237,40.97366743,18.03198925,47.58989247,68.46876344,19.31075653,31.88913979,17.91975806,47.01387097,55.31956989,37.51196237,23.02233871,17.18655914,20.17774194,16.20752688,19.8891129,36.07473118,28.57370968,19.59139785,32.08903226,28.8172043
